P569	date of birth	s
P571	inception	s
P574	date of taxon name publication	s
P575	time of discovery	s
P576	dissolved or abolished	e
P577	publication date	s
P580	start time	s
P582	end time	e
P585	point in time	b
P606	first flight	s
P619	time of spacecraft launch	s
P620	time of spacecraft landing	n
P621	time of spacecraft orbit decay	n
P622	spacecraft docking/undocking date	n
P729	service entry	s
P730	service retirement	e
P746	date of disappearance	e
P813	retrieved	s
P1191	first performance	s
P1249	time of earliest written record	s
P1619	date of official opening	s
P1734	oath of office date	s
P2285	periapsis date	n
P2669	discontinued date	e
P2913	date depicted	b